city_ascii,county_name,county_fips,state_id,metfips,metarea
Callaway,Custer,31041,NE,NA,NA
Castalian Springs,Sumner,47165,TN,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)"
Wellsburg,Chemung,36015,NY,21300,"Elmira, NY (Metropolitan Statistical Area)"
Montvale,Bedford,51019,VA,31340,"Lynchburg, VA (Metropolitan Statistical Area)"
Norfork,Baxter,05005,AR,NA,NA
Ailey,Montgomery,13209,GA,NA,NA
Hoboken,Brantley,13025,GA,15260,"Brunswick, GA (Metropolitan Statistical Area)"
Cynthiana,Posey,18129,IN,21780,"Evansville, IN-KY (Metropolitan Statistical Area)"
Russell,Lucas,19117,IA,NA,NA
Foxworth,Marion,28091,MS,NA,NA
Tijeras,Bernalillo,35001,NM,10740,"Albuquerque, NM (Metropolitan Statistical Area)"
Arapahoe,Pamlico,37137,NC,35100,"New Bern, NC (Metropolitan Statistical Area)"
Trenton,Hitchcock,31087,NE,NA,NA
Meshoppen,Wyoming,42131,PA,42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)"
Juniata Terrace,Mifflin,42087,PA,NA,NA
River Falls,Covington,01039,AL,NA,NA
Indian Creek,Lake,17097,IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
Olpe,Lyon,20111,KS,NA,NA
Highland Meadows,Valencia,35061,NM,10740,"Albuquerque, NM (Metropolitan Statistical Area)"
Fort Yukon,Yukon-Koyukuk,02290,AK,NA,NA
Scammon Bay,Kusilvak,02158,AK,NA,NA
Baneberry,Jefferson,47089,TN,34100,"Morristown, TN (Metropolitan Statistical Area)"
Peeples Valley,Yavapai,04025,AZ,39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)"
Covington,Garfield,40047,OK,21420,"Enid, OK (Metropolitan Statistical Area)"
North Fairfield,Huron,39077,OH,NA,NA
Logan,Phillips,20147,KS,NA,NA
Pinewood,Sumter,45085,SC,44940,"Sumter, SC (Metropolitan Statistical Area)"
